"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.375912642E2,6.356090879E1,2.704367700E1,9.354127413E1,1.210000038E0,2.518000031E2,3.790092468E0,2.500000000E0
1.385910580E2,6.356090555E1,2.704365325E1,9.318696192E1,1.190000057E0,2.562000122E2,3.790092468E0,2.500000000E0
1.395907668E2,6.356090290E1,2.704362948E1,9.318653177E1,1.159999967E0,2.588999939E2,3.790092468E0,2.500000000E0
1.405919447E2,6.356090018E1,2.704360584E1,9.290070122E1,1.169999957E0,2.536999969E2,3.790092468E0,2.500000000E0
1.415907437E2,6.356089857E1,2.704358196E1,9.307232957E1,1.149999976E0,2.626000061E2,3.790092468E0,2.500000000E0
1.425919670E2,6.356089655E1,2.704355933E1,9.297796665E1,1.120000005E0,2.556000061E2,3.790092468E0,2.500000000E0
1.435909479E2,6.356089222E1,2.704353618E1,9.279797047E1,1.220000029E0,2.503999939E2,3.790092468E0,2.500000000E0
1.445906027E2,6.356088789E1,2.704351059E1,9.315215380E1,1.190000057E0,2.555000000E2,3.790092468E0,2.500000000E0
1.455911453E2,6.356088660E1,2.704348617E1,9.332951953E1,1.090000033E0,2.610000000E2,3.790092468E0,2.500000000E0
1.465920931E2,6.356088701E1,2.704346247E1,9.310783812E1,1.019999981E0,2.626000061E2,3.790092468E0,2.500000000E0
1.475929515E2,6.356088525E1,2.704343877E1,9.315733508E1,1.120000005E0,2.601000061E2,3.790092468E0,2.500000000E0
1.485916222E2,6.356088266E1,2.704341563E1,9.333683664E1,1.100000024E0,2.577000122E2,3.790092468E0,2.500000000E0
1.495911153E2,6.356088033E1,2.704339508E1,9.339970033E1,1.090000033E0,2.576000061E2,3.790092468E0,2.500000000E0
1.505919288E2,6.356087858E1,2.704337273E1,9.332175600E1,1.149999976E0,2.546999969E2,3.790092468E0,2.500000000E0
1.515897722E2,6.356087658E1,2.704335133E1,9.343051818E1,1.059999943E0,2.570000000E2,3.790092468E0,2.500000000E0
1.525915758E2,6.356087529E1,2.704332986E1,9.336990807E1,1.070000052E0,2.623999939E2,3.790092468E0,2.500000000E0
1.535912455E2,6.356087386E1,2.704330776E1,9.354300148E1,1.159999967E0,2.601000061E2,3.790092468E0,2.500000000E0
1.545895479E2,6.356087104E1,2.704328726E1,9.363095043E1,1.100000024E0,2.551999969E2,3.790092468E0,2.500000000E0
1.555918100E2,6.356086810E1,2.704326663E1,9.378005655E1,1.070000052E0,2.545000000E2,3.790092468E0,2.500000000E0
1.565892540E2,6.356086425E1,2.704324368E1,9.383687699E1,1.169999957E0,2.518000031E2,3.790092468E0,2.500000000E0
1.575964099E2,6.356085976E1,2.704322186E1,9.315791846E1,1.070000052E0,2.498000031E2,3.790092468E0,2.500000000E0
1.585903818E2,6.356085672E1,2.704319965E1,9.336665577E1,1.090000033E0,2.582999878E2,3.790092468E0,2.500000000E0
1.595900788E2,6.356085657E1,2.704317769E1,9.374556022E1,1.100000024E0,2.697000122E2,3.790092468E0,2.500000000E0
1.605905244E2,6.356085421E1,2.704315506E1,9.328169033E1,1.179999948E0,2.586000061E2,3.790092468E0,2.500000000E0
