"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
7.018774520E-1,-4.970228672E-2,4.152250290E-2,-2.263021469E-2
7.069543790E-1,-4.567849636E-2,2.891206741E-2,-5.735874176E-3
7.120313580E-1,-1.567482948E-2,2.362012863E-2,3.778457642E-3
7.171244830E-1,-9.463787079E-3,-5.462169647E-3,1.096820831E-2
7.222022950E-1,3.249526024E-2,-4.849815369E-2,4.421710968E-2
7.272800560E-1,-6.593108177E-3,-7.211542130E-2,5.102252960E-2
7.323578160E-1,1.640450954E-2,-6.463479996E-2,6.725502014E-2
7.374172950E-1,-2.720212936E-2,-7.139444351E-2,8.093118668E-2
7.424941180E-1,-2.537441254E-2,-4.002428055E-2,8.016204834E-2
7.475709930E-1,-1.166486740E-2,-2.558660507E-2,5.568885803E-2
7.526478160E-1,-2.423858643E-2,-3.500127792E-2,3.138828278E-2
7.577274000E-1,-1.781642437E-2,-2.789020538E-2,2.643775940E-2
7.628043790E-1,-1.928567886E-3,-2.309226990E-2,1.666688919E-2
7.678813580E-1,-4.082822800E-2,2.965927124E-3,9.423255920E-3
7.729583370E-1,-4.137921333E-2,-1.399421692E-2,1.416206360E-2
7.780183370E-1,-1.811766624E-2,-1.178026199E-2,4.497766495E-2
7.830783370E-1,-1.634788513E-2,9.489536285E-3,6.601333618E-3
7.881383370E-1,-3.127801418E-2,-2.689838409E-3,-2.195453644E-2
7.931983370E-1,-4.604482651E-2,1.857376099E-2,-4.083919525E-2
7.982583370E-1,-5.593729019E-2,1.829862595E-2,-4.057979584E-2
8.033183370E-1,-9.423124790E-2,2.054977417E-2,-4.283285141E-2
8.083783370E-1,-8.457732201E-2,3.475666046E-2,-5.938243866E-2
8.134383370E-1,-3.234672546E-2,3.211879730E-2,-5.909872055E-2
8.184983370E-1,-2.553820610E-2,-6.092548370E-3,-4.931306839E-2
8.235583370E-1,-3.764235973E-2,1.067018509E-2,-5.859327316E-2
8.286183370E-1,7.350564003E-3,5.940437317E-3,-2.981853485E-2
8.336783370E-1,1.882529259E-2,-1.058530807E-2,-2.029800415E-2
8.387383370E-1,1.863384247E-2,-1.032590866E-2,-4.167938232E-2
8.437983370E-1,9.015917778E-3,-1.481962204E-2,-5.811309814E-2
8.488583370E-1,5.185246468E-2,-2.212524414E-4,-8.393192291E-2
8.539183370E-1,5.885684490E-2,2.512931824E-3,-8.586788177E-2
8.589783370E-1,1.843655109E-2,5.469322205E-4,-7.356882095E-2
8.640383370E-1,-2.883017063E-2,3.501415253E-3,-5.440473557E-2
8.690983370E-1,-4.723846912E-2,6.732940674E-3,-4.814624786E-3
8.741583370E-1,-6.560182571E-2,2.426910400E-2,4.663610458E-2
8.792183370E-1,-7.443881035E-2,2.736473083E-2,7.390975952E-2
8.842783370E-1,-7.144773006E-2,1.846933365E-2,1.010093689E-1
8.893383370E-1,-7.585704327E-2,2.151107788E-2,1.112046242E-1
8.943983370E-1,-7.564175129E-2,-1.362943649E-2,1.071615219E-1
8.994583370E-1,-7.316017151E-2,-1.785469055E-2,1.247510910E-1
9.045183370E-1,-7.311117649E-2,-1.505279541E-2,1.423115730E-1
9.095783370E-1,-7.543826103E-2,-7.653236389E-3,1.479716301E-1
9.146383370E-1,-2.570807934E-2,1.613283157E-2,1.798300743E-1
9.196983370E-1,-2.167630196E-2,1.112127304E-2,1.829667091E-1
9.247583370E-1,-3.911197186E-2,3.561496735E-3,1.387553215E-1
9.298183370E-1,-1.366031170E-2,3.390216827E-2,9.507036209E-2
9.348783370E-1,-2.272129059E-4,2.365684509E-2,6.359720230E-2
9.399383370E-1,4.631316662E-2,1.605510712E-3,4.901838303E-2
9.449983370E-1,2.854716778E-2,1.296710968E-2,1.088809967E-2
9.500583370E-1,2.045297623E-2,-1.148700714E-2,-7.052421570E-4
9.551183370E-1,4.811918736E-2,2.345085144E-3,-5.130290985E-3
9.601783370E-1,3.761851788E-2,1.893043518E-3,-5.708980560E-2
9.652383370E-1,1.131296158E-3,-8.099555969E-3,-7.768011093E-2
9.702983370E-1,1.256859303E-2,1.535081863E-2,-1.385521889E-1
9.753583370E-1,7.304430008E-3,1.499891281E-2,-2.061781883E-1
9.804183370E-1,1.893687248E-2,1.245546341E-2,-2.187185287E-1
9.854783370E-1,4.724752903E-2,3.001689911E-3,-1.980452538E-1
9.905383370E-1,8.912801743E-3,-1.409053802E-3,-1.515889168E-1
9.955983370E-1,-2.440214157E-2,-9.436607361E-4,-1.269955635E-1
1.000658337E0,-3.369951248E-2,-1.228141785E-2,-9.080791473E-2
1.005718337E0,-5.023884773E-2,-1.926898956E-3,-5.280017853E-2
1.010778337E0,-4.540872574E-2,-1.287126541E-2,-1.055383682E-2
1.015838337E0,-4.093050957E-2,-1.657915115E-2,2.738475800E-3
1.020898337E0,-3.641748428E-2,-1.080036163E-2,-2.440166473E-2
1.025958337E0,-2.250719070E-2,-9.983062744E-3,-2.979898453E-2
